Kiswahili;Deutsch;Zusatz de;Wortart;Klasse;Animate;Singular Kiswahili;Klasse Singular;Plural Kiswahili;Klasse Plural;Plural Deutsch;Einsilbig;Verbstamm;Infinitiv;Thema;Anmerkung
dawa;Medizin;;Substantiv;9/10;0;dawa;9;dawa;10;Medikamente, Medizin (Pl.);0;;;Allgemein;
sepetu;Spaten;;Substantiv;9/10;0;sepetu;9;sepetu;10;Spaten (Pl.);0;;;Arbeit, Handwerk;
sukari;Zucker;;Substantiv;9;0;sukari;9;;;;0;;;Allgemein;
ngoma;Trommel;;Substantiv;9/10;0;ngoma;9;ngoma;10;Trommeln;0;;;Allgemein;
ndugu;Bruder;;Substantiv;9/10;0;ndugu;9;ndugu;10;Brüder;0;;;Familie, Menschen;
ndugu;Schwester;;Substantiv;9/10;0;ndugu;9;ndugu;10;Schwestern;0;;;Familie, Menschen;
popo;Fledermaus;;Substantiv;9/10;0;popo;9;popo;10;Fledermäuse;0;;;Allgemein;
simba;Löwe;;Substantiv;9/10;1;simba;9;simba;10;Löwen;0;;;Allgemein;
waya;Kabel;;Substantiv;9/10;0;waya;9;waya;10;Kabel (Pl.);0;;;Arbeit, Handwerk;
chatu;Reisenschlange (Boa constrictor);;Substantiv;9/10;0;chatu;9;chatu;10;Riesenschlangen, Boa Constrictor (Pl.);0;;;Allgemein;
arusi;Hochzeit;;Substantiv;9/10;0;arusi;9;arusi;10;Hochzeiten;0;;;Allgemein;
sehemu;Teil, Gegend;;Substantiv;9/10;0;sehemu;9;sehemu;10;Teile, Gegenden;0;;;Allgemein;
tembo;Elefant;;Substantiv;9/10;0;tembo;9;tembo;10;Elefanten;0;;;Allgemein;
safari;Reise, Fahrt;;Substantiv;9/10;0;safari;9;safari;10;Reisen, Fahrten;0;;;Allgemein;
ngozi;Haut, Fell, Leder;;Substantiv;9/10;0;ngozi;9;nogizi;10;Häute, Felle, Leder (Pl.);0;;;Allgemein;
namna;Art, Weise, Variante;;Substantiv;9/10;0;namna;9;namna;10;Arten, Weisen, Varianten;0;;;Allgemein;
rafiki;Freund;;Substantiv;9/10;0;rafiki;9;rafiki;10;Freunde;0;;;Allgemein;
fisi;Hyäne;;Substantiv;9/10;0;fisi;9;fisi;10;Hyänen;0;;;Allgemein;
redio;Radio;;Substantiv;9/10;0;redio;9;redio;10;Radios;0;;;Allgemein;
posta;Postamt;;Substantiv;9/10;0;posta;9;posta;10;Postämter;0;;;Allgemein;
nyama;Fleisch;;Substantiv;9/10;0;nyama;9;;10;Fleisch (Pl.);0;;;Allgemein;
nyumba;Haus;;Substantiv;9/10;0;nyumba;9;nyumba;10;Häuser;0;;;Allgemein;
twiga;Giraffe;;Substantiv;9/10;0;twiga;9;twiga;10;Giraffen;0;;;Allgemein;
njaa;Hunger;;Substantiv;9/10;0;njaa;9;;;;0;;;Allgemein;
sikukuu;Feiertag;;Substantiv;9/10;0;sikukuu;9;sikukuu;10;Feiertage;0;;;Allgemein;
punda milia;Zebra;;Substantiv;9/10;0;punda milia;9;punda milia;10;Zebras;0;;;Allgemein;
nyumbu;Gnu;;Substantiv;9/10;0;nyumbu;9;nyumbu;10;Gnus;0;;;Allgemein;
tafrija;(kleine, private) Feier, Party;;Substantiv;9/10;0;tafrija;9;tafrija;10;(kleine, private) Feiern, Partys;0;;;Allgemein;
motokaa;Auto;;Substantiv;9/10;0;motokaa;9;motokaa;10;Autos;0;;;Allgemein;
hali;Zustand;;Substantiv;9/10;0;hali;9;hali;10;Zustände;;;;Allgemein;
nyundo;Hammer;;Substantiv;9/10;0;nyundo;9;nyundo;10;Hämmer;0;;;Arbeit, Handwerk;
ngazi;Treppe;;Substantiv;9/10;0;ngazi;9;ngazi;10;Treppen;0;;;Arbeit, Handwerk;
ngano;Weizen;;Substantiv;9/10;0;ngano;9;;;;0;;;Allgemein;
chui;Leopard;;Substantiv;9/10;0;chui;9;chui;10;Leoparden;0;;;Allgemein;
bisibisi;Schraubenzieher;;Substantiv;9/10;0;bisibisi;9;bisibisi;10;Schraubenzieher (Pl.);0;;;Arbeit, Handwerk;
hospitali;Krankenhaus;;Substantiv;9/10;0;hospitali;9;hospitali;10;Krankenhäuser;0;;;Allgemein;
jioni;später Nachmittag (bis Sonnenuntergang);;Substantiv;9/10;0;jioni;9;jioni;10;später Nachmittag (Pl.);0;;;Zeit, Zeitrechnung;
baraka;Segen;;Substantiv;9/10;0;baraka;9;baraka;10;Segen;;;;Allgemein;
baraka;Wohltat;;Substantiv;9/10;0;baraka;9;baraka;10;Wohltaten;;;;Allgemein;
nguzo;Pfosten, Pfahl, Stange;;Substantiv;9/10;0;nguzo;9;nguso;10;Pfosten (Pl.), Pfähle, Stangen;0;;;Arbeit, Handwerk;
sherehe;(grosse, öffentliche) Feier;;Substantiv;9/10;0;sherehe;9;sherehe;10;(grosse, öffentliche) Feiern;0;;;Allgemein;
-leta;herbeibringen;;Verb;;;;;;;;0;leta;kuleta;Allgemein;
dosari;Fehler;;Substantiv;9/10;0;dosari;9;dosari;10;Fehler;;;;Allgemein;
lugha;Sprache;;Substantiv;9/10;0;lugha;9;lugha;10;Sprachen;0;;;Allgemein;
ng&#039;ombe;Rind;;Substantiv;9/10;0;ng&#039;ombe;9;ng&#039;ombe;10;Rinder;;;;Allgemein;
asubuhi;Morgen;;Substantiv;9/10;0;asubuhi;9;asubuhi;10;Morgende (Pl.);0;;;Zeit, Zeitrechnung;
ndizi;Banane;;Substantiv;9/10;0;ndizi;9;ndizi;10;Bananen;0;;;Allgemein;
nchi;Land;;Substantiv;9/10;0;nchi;9;nchi;10;Länder;0;;;Allgemein;
kutwa;(der Tag bis Sonnenuntergang);;Substantiv;9/10;0;kutwa;9;;;;0;;;Allgemein;
habari;Nachricht;;Substantiv;9/10;0;habari;9;habari;10;Nachrichten;;;;Allgemein;
shule;Schule;;Substantiv;9/10;0;shule;9;shule;10;Schulen;0;;;Allgemein;
dini;Religion;;Substantiv;9/10;0;dini;9;dini;10;Religionen;0;;;Allgemein;
kengele;Glocke;;Substantiv;9/10;0;kengele;9;kengele;10;Glocken;0;;;Allgemein;
kazi;Arbeit;;Substantiv;9/10;0;kazi;9;kazi;10;Arbeiten, Arbeit (Pl.);0;;;Allgemein;
-chukua;nehmen;;Verb;;;;;;;;0;chukua;kuchukua;Allgemein;
-toboa;bohren;;Verb;;0;;;;;;0;toboa;kutoboa;Arbeit, Handwerk;
-tosha;genügen;;Verb;;;;;;;;0;tosha;kutosha;Allgemein;
-takiwa;müssen;;Verb;;0;;;;;;0;takiwa;kutakiwa;Allgemein;
-tazama;etw. anschauen;;Verb;;;;;;;;0;tazama;kutazama;Allgemein;
-cheza;spielen;;Verb;;0;;;;;;0;cheza;kucheza;Allgemein;
-omba;fragen;;Verb;;;;;;;;0;omba;kuomba;Allgemein;
-tengeneza;reparieren;;Verb;;;;;;;;0;tengeneza;kutengeneza;Allgemein;
